player,team,event_type,result,original_x,original_y,converted_x,converted_y
Devin Booker,PHX,shot,made,-8,0,25.8,89
Devin Booker,PHX,shot,made,-5,1,25.5,88.9
Devin Booker,PHX,shot,made,-4,7,25.4,88.3
Devin Booker,PHX,shot,made,-97,228,34.7,66.2
Devin Booker,PHX,shot,made,-3,-9,25.3,89.9
Devin Booker,PHX,shot,made,57,240,19.3,65
Devin Booker,PHX,shot,made,-78,35,32.8,85.5
Devin Booker,PHX,shot,made,176,180,7.4,71
Devin Booker,PHX,shot,made,-2,4,25.2,88.6
Devin Booker,PHX,shot,made,-150,206,40,68.4
Devin Booker,PHX,shot,made,178,177,7.2,71.3
Devin Booker,PHX,shot,made,75,239,17.5,65.1
Devin Booker,PHX,shot,made,32,1,28.2,5.1
Devin Booker,PHX,shot,made,-13,9,23.7,5.9
Devin Booker,PHX,shot,made,14,10,26.4,6
Devin Booker,PHX,shot,made,-107,214,14.3,26.4
Devin Booker,PHX,shot,made,-209,112,4.1,16.2
Devin Booker,PHX,shot,made,-131,143,11.9,19.3
Devin Booker,PHX,shot,made,91,251,34.1,30.1
Devin Booker,PHX,shot,made,-70,85,18,13.5
Devin Booker,PHX,shot,made,6,10,25.6,6
Devin Booker,PHX,shot,made,-19,16,23.1,6.6
Devin Booker,PHX,shot,made,-16,34,23.4,8.4
Devin Booker,PHX,shot,made,-3,31,24.7,8.1
Devin Booker,PHX,shot,made,-44,293,20.6,34.3
Devin Booker,PHX,shot,made,-102,149,14.8,19.9
Devin Booker,PHX,shot,made,73,289,32.3,33.9
Devin Booker,PHX,shot,made,18,115,26.8,16.5
Devin Booker,PHX,shot,made,68,6,18.2,88.4
Devin Booker,PHX,shot,made,2,-1,24.8,89.1
Devin Booker,PHX,shot,made,2,-5,24.8,89.5
Devin Booker,PHX,shot,made,127,217,12.3,67.3
Devin Booker,PHX,shot,made,-3,5,25.3,88.5
Devin Booker,PHX,shot,made,-16,14,26.6,87.6
Devin Booker,PHX,shot,made,-7,-1,25.7,89.1
Devin Booker,PHX,shot,made,185,164,6.5,72.6
Devin Booker,PHX,shot,made,-24,126,27.4,76.4
Devin Booker,PHX,shot,made,8,6,24.2,88.4
Devin Booker,PHX,shot,made,-37,21,28.7,86.9
Devin Booker,PHX,shot,made,107,75,14.3,81.5
Devin Booker,PHX,shot,made,24,10,22.6,88
Devin Booker,PHX,shot,made,-100,148,35,74.2
Devin Booker,PHX,shot,made,144,211,10.6,67.9
Devin Booker,PHX,shot,made,231,-8,1.9,89.8
Devin Booker,PHX,shot,made,-92,152,34.2,73.8
Devin Booker,PHX,shot,made,-90,184,34,70.6
Devin Booker,PHX,shot,made,13,265,23.7,62.5
Devin Booker,PHX,shot,made,58,241,19.2,64.9
Devin Booker,PHX,shot,made,-8,6,25.8,88.4
Devin Booker,PHX,shot,made,-104,166,35.4,72.4
Devin Booker,PHX,shot,made,127,114,12.3,77.6
Devin Booker,PHX,shot,made,111,226,13.9,66.4
Devin Booker,PHX,shot,made,3,5,24.7,88.5
Devin Booker,PHX,shot,made,-103,233,35.3,65.7
Devin Booker,PHX,shot,made,-4,-10,25.4,90
Devin Booker,PHX,shot,made,-64,118,31.4,77.2
Devin Booker,PHX,shot,made,77,176,17.3,71.4
Devin Booker,PHX,shot,made,-149,21,39.9,86.9
Devin Booker,PHX,shot,made,101,237,14.9,65.3
Devin Booker,PHX,shot,made,101,136,14.9,75.4
Devin Booker,PHX,shot,made,58,240,19.2,65
Devin Booker,PHX,shot,made,105,236,14.5,65.4
Devin Booker,PHX,shot,made,2,1,24.8,88.9
Devin Booker,PHX,shot,made,16,99,23.4,79.1
Devin Booker,PHX,shot,made,-2,4,25.2,88.6
Devin Booker,PHX,shot,made,-4,4,25.4,88.6
Devin Booker,PHX,shot,made,90,-11,16,90.1
Devin Booker,PHX,shot,made,-71,31,32.1,85.9
Devin Booker,PHX,shot,made,-90,68,34,82.2
Devin Booker,PHX,shot,made,-4,2,25.4,88.8
Devin Booker,PHX,shot,made,6,39,24.4,85.1
Devin Booker,PHX,shot,made,-86,236,33.6,65.4
Devin Booker,PHX,shot,made,25,-12,27.5,3.8
Devin Booker,PHX,shot,made,0,246,25,29.6
Devin Booker,PHX,shot,made,-6,480,24.4,53
Devin Booker,PHX,shot,made,19,25,26.9,7.5
Devin Booker,PHX,shot,made,-96,237,15.4,28.7
Devin Booker,PHX,shot,made,3,6,25.3,5.6
Devin Booker,PHX,shot,made,-2,28,24.8,7.8
Devin Booker,PHX,shot,made,109,14,35.9,6.4
Devin Booker,PHX,shot,made,-3,8,24.7,5.8
Devin Booker,PHX,shot,made,91,31,34.1,8.1
Devin Booker,PHX,shot,made,-1,22,24.9,7.2
Devin Booker,PHX,shot,made,127,216,12.3,67.4
Devin Booker,PHX,shot,made,5,-1,24.5,89.1
Devin Booker,PHX,shot,made,6,27,24.4,86.3
Devin Booker,PHX,shot,made,159,206,9.1,68.4
Devin Booker,PHX,shot,made,-2,-1,25.2,89.1
Devin Booker,PHX,shot,made,-2,295,25.2,59.5
Devin Booker,PHX,shot,made,169,186,8.1,70.4
Devin Booker,PHX,shot,made,-146,138,39.6,75.2
Devin Booker,PHX,shot,made,-1,3,25.1,88.7
Devin Booker,PHX,shot,made,-188,221,43.8,66.9
Devin Booker,PHX,shot,made,134,233,38.4,28.3
Devin Booker,PHX,shot,made,-163,209,8.7,25.9
Devin Booker,PHX,shot,made,18,78,26.8,12.8
Devin Booker,PHX,shot,made,-4,252,24.6,30.2
Devin Booker,PHX,shot,made,-146,223,10.4,27.3
Devin Booker,PHX,shot,made,-128,240,12.2,29
Devin Booker,PHX,shot,made,21,272,27.1,32.2
Devin Booker,PHX,shot,made,-18,171,23.2,22.1
Devin Booker,PHX,shot,made,19,189,26.9,23.9
Devin Booker,PHX,shot,made,-6,25,24.4,7.5
Devin Booker,PHX,shot,made,-44,55,20.6,10.5
Devin Booker,PHX,shot,made,-14,14,23.6,6.4
Devin Booker,PHX,shot,made,-171,53,7.9,10.3
Devin Booker,PHX,shot,made,236,-19,48.6,3.1
Devin Booker,PHX,shot,made,-9,173,24.1,22.3
Devin Booker,PHX,shot,made,43,55,29.3,10.5
Devin Booker,PHX,shot,made,11,2,26.1,5.2
Devin Booker,PHX,shot,made,-42,90,20.8,14
Devin Booker,PHX,shot,made,13,10,26.3,6
Devin Booker,PHX,shot,made,118,5,36.8,5.5
Devin Booker,PHX,shot,made,147,87,39.7,13.7
Devin Booker,PHX,shot,made,42,50,29.2,10
Devin Booker,PHX,shot,made,-38,104,21.2,15.4
Devin Booker,PHX,shot,made,72,107,32.2,15.7
Devin Booker,PHX,shot,made,96,-8,34.6,4.2
Devin Booker,PHX,shot,made,32,136,28.2,18.6
Devin Booker,PHX,shot,made,3,2,25.3,5.2
Devin Booker,PHX,shot,made,5,8,25.5,5.8
Devin Booker,PHX,shot,made,-83,124,16.7,17.4
Devin Booker,PHX,shot,made,55,126,30.5,17.6
Devin Booker,PHX,shot,made,-90,122,16,17.2
Devin Booker,PHX,shot,made,131,214,38.1,26.4
Devin Booker,PHX,shot,made,-49,125,20.1,17.5
Devin Booker,PHX,shot,made,84,126,33.4,17.6
Devin Booker,PHX,shot,made,-73,178,17.7,22.8
Devin Booker,PHX,shot,made,-33,111,21.7,16.1
Devin Booker,PHX,shot,made,14,15,26.4,6.5
Devin Booker,PHX,shot,made,25,21,27.5,7.1
Devin Booker,PHX,shot,made,-100,131,15,18.1
Devin Booker,PHX,shot,made,77,36,32.7,8.6
Devin Booker,PHX,shot,made,47,35,29.7,8.5
Devin Booker,PHX,shot,made,53,89,30.3,13.9
Devin Booker,PHX,shot,made,9,91,25.9,14.1
Devin Booker,PHX,shot,made,188,200,43.8,25
Devin Booker,PHX,shot,made,9,91,25.9,14.1
Devin Booker,PHX,shot,made,-10,105,24,15.5
Devin Booker,PHX,shot,made,160,248,41,29.8
Devin Booker,PHX,shot,made,0,291,25,34.1
Devin Booker,PHX,shot,made,55,32,30.5,8.2
Devin Booker,PHX,shot,made,100,59,15,83.1
Devin Booker,PHX,shot,made,96,116,15.4,77.4
Devin Booker,PHX,shot,made,-135,217,38.5,67.3
Devin Booker,PHX,shot,made,13,62,23.7,82.8
Devin Booker,PHX,shot,made,-47,250,29.7,64
Devin Booker,PHX,shot,made,22,5,22.8,88.5
Devin Booker,PHX,shot,made,-43,267,29.3,62.3
Devin Booker,PHX,shot,made,58,120,30.8,17
Devin Booker,PHX,shot,made,52,112,30.2,16.2
Devin Booker,PHX,shot,made,22,10,27.2,6
Devin Booker,PHX,shot,made,-194,-8,5.6,4.2
Devin Booker,PHX,shot,made,217,128,46.7,17.8
Devin Booker,PHX,shot,made,4,161,25.4,21.1
Devin Booker,PHX,shot,made,70,136,32,18.6
Devin Booker,PHX,shot,made,-128,69,12.2,11.9
Devin Booker,PHX,shot,made,11,74,26.1,12.4
Devin Booker,PHX,shot,made,-54,179,19.6,22.9
Devin Booker,PHX,shot,made,1,10,25.1,6
Devin Booker,PHX,shot,made,67,128,31.7,17.8
Devin Booker,PHX,shot,made,99,131,15.1,75.9
Devin Booker,PHX,shot,made,212,133,3.8,75.7
Devin Booker,PHX,shot,made,-18,169,26.8,72.1
Devin Booker,PHX,shot,made,-2,-9,25.2,89.9
Devin Booker,PHX,shot,made,-6,259,25.6,63.1
Devin Booker,PHX,shot,made,-9,262,25.9,62.8
Devin Booker,PHX,shot,made,163,148,8.7,74.2
Devin Booker,PHX,shot,made,-16,8,26.6,88.2
Devin Booker,PHX,shot,made,106,30,14.4,86
Devin Booker,PHX,shot,made,6,1,24.4,88.9
Devin Booker,PHX,shot,made,-78,183,17.2,23.3
Devin Booker,PHX,shot,made,-6,9,24.4,5.9
Devin Booker,PHX,shot,made,166,201,41.6,25.1
Devin Booker,PHX,shot,made,-28,34,22.2,8.4
Devin Booker,PHX,shot,made,-2,9,24.8,5.9
Devin Booker,PHX,shot,made,93,240,34.3,29
Devin Booker,PHX,shot,made,-3,100,24.7,15
Devin Booker,PHX,shot,made,-5,11,24.5,6.1
Devin Booker,PHX,shot,made,-43,157,20.7,20.7
Devin Booker,PHX,shot,made,68,175,31.8,22.5
Devin Booker,PHX,shot,made,0,15,25,6.5
Devin Booker,PHX,shot,made,-9,68,24.1,11.8
Devin Booker,PHX,shot,made,222,9,47.2,5.9
Devin Booker,PHX,shot,made,42,15,29.2,6.5
Devin Booker,PHX,shot,made,-95,124,15.5,17.4
Devin Booker,PHX,shot,made,169,183,41.9,23.3
Devin Booker,PHX,shot,made,0,-6,25,4.4
Devin Booker,PHX,shot,made,229,88,47.9,13.8
Devin Booker,PHX,shot,made,24,16,27.4,6.6
Devin Booker,PHX,shot,made,16,7,26.6,5.7
Devin Booker,PHX,shot,made,-76,157,17.4,20.7
Devin Booker,PHX,shot,made,-71,130,17.9,18
Devin Booker,PHX,shot,made,-14,26,23.6,7.6
Devin Booker,PHX,shot,made,32,260,28.2,31
Devin Booker,PHX,shot,made,11,20,26.1,7
Devin Booker,PHX,shot,made,-8,23,24.2,7.3
Devin Booker,PHX,shot,made,206,165,45.6,21.5
Devin Booker,PHX,shot,made,123,128,37.3,17.8
Devin Booker,PHX,shot,made,-41,27,20.9,7.7
Devin Booker,PHX,shot,made,14,68,26.4,11.8
Devin Booker,PHX,shot,made,3,104,25.3,15.4
Devin Booker,PHX,shot,made,16,10,26.6,6
Devin Booker,PHX,shot,made,93,179,34.3,22.9
Devin Booker,PHX,shot,made,149,216,39.9,26.6
Devin Booker,PHX,shot,made,29,0,27.9,5
Devin Booker,PHX,shot,made,-81,100,16.9,15
Devin Booker,PHX,shot,made,-9,5,24.1,5.5
Devin Booker,PHX,shot,made,-32,160,21.8,21
Devin Booker,PHX,shot,made,-3,10,24.7,6
Devin Booker,PHX,shot,made,-91,63,15.9,11.3
Devin Booker,PHX,shot,made,2,31,25.2,8.1
Devin Booker,PHX,shot,made,30,153,28,20.3
Devin Booker,PHX,shot,made,16,132,26.6,18.2
Devin Booker,PHX,shot,made,100,233,35,28.3
Devin Booker,PHX,shot,made,-120,146,13,19.6
Devin Booker,PHX,shot,made,-51,142,19.9,19.2
Devin Booker,PHX,shot,made,-171,190,7.9,24
Devin Booker,PHX,shot,made,-145,215,10.5,26.5
Devin Booker,PHX,shot,made,-72,138,17.8,18.8
Devin Booker,PHX,shot,made,98,59,34.8,10.9
Devin Booker,PHX,shot,made,146,214,39.6,26.4
Devin Booker,PHX,shot,made,161,-12,41.1,3.8
Devin Booker,PHX,shot,made,146,206,39.6,25.6
Devin Booker,PHX,shot,made,2,17,25.2,6.7
Devin Booker,PHX,shot,made,-14,5,23.6,5.5
Devin Booker,PHX,shot,made,-87,96,33.7,79.4
Devin Booker,PHX,shot,made,106,237,14.4,65.3
Devin Booker,PHX,shot,made,58,123,19.2,76.7
Devin Booker,PHX,shot,made,0,6,25,88.4
Devin Booker,PHX,shot,made,-170,178,42,71.2
Devin Booker,PHX,shot,made,124,24,12.6,86.6
Devin Booker,PHX,shot,made,-3,4,25.3,88.6
Devin Booker,PHX,shot,made,2,5,24.8,88.5
Devin Booker,PHX,shot,made,33,90,21.7,80
Devin Booker,PHX,shot,made,223,78,2.7,81.2
Devin Booker,PHX,shot,made,14,22,23.6,86.8
Devin Booker,PHX,shot,made,78,127,17.2,76.3
Devin Booker,PHX,shot,made,-16,35,26.6,85.5
Devin Booker,PHX,shot,made,44,194,20.6,69.6
Devin Booker,PHX,shot,made,3,8,24.7,88.2
Devin Booker,PHX,shot,made,5,15,24.5,87.5
Devin Booker,PHX,shot,made,3,9,24.7,88.1
Devin Booker,PHX,shot,made,-2,31,25.2,85.9
Devin Booker,PHX,shot,made,2,-4,24.8,89.4
Devin Booker,PHX,shot,made,-226,96,47.6,79.4
Devin Booker,PHX,shot,made,5,274,24.5,61.6
Devin Booker,PHX,shot,made,1,4,24.9,88.6
Devin Booker,PHX,shot,made,0,8,25,88.2
Devin Booker,PHX,shot,made,-77,58,32.7,83.2
Devin Booker,PHX,shot,made,4,4,24.6,88.6
Devin Booker,PHX,shot,made,-87,239,33.7,65.1
Devin Booker,PHX,shot,made,-35,94,28.5,79.6
Devin Booker,PHX,shot,made,72,37,17.8,85.3
Devin Booker,PHX,shot,made,-8,4,25.8,88.6
Devin Booker,PHX,shot,made,-18,8,26.8,88.2
Devin Booker,PHX,shot,made,13,3,23.7,88.7
Devin Booker,PHX,shot,made,101,-6,14.9,89.6
Devin Booker,PHX,shot,made,-22,15,27.2,87.5
Devin Booker,PHX,shot,made,161,211,8.9,67.9
Devin Booker,PHX,shot,made,-8,-5,25.8,89.5
Devin Booker,PHX,shot,made,2,4,24.8,88.6
Devin Booker,PHX,shot,made,1,-6,24.9,89.6
Devin Booker,PHX,shot,made,-98,50,34.8,84
Devin Booker,PHX,shot,made,0,92,25,79.8
Devin Booker,PHX,shot,made,71,124,17.9,76.6
Devin Booker,PHX,shot,made,-66,47,31.6,84.3
Devin Booker,PHX,shot,made,124,226,12.6,66.4
Devin Booker,PHX,shot,made,2,130,24.8,76
Devin Booker,PHX,shot,made,229,48,2.1,84.2
Devin Booker,PHX,shot,made,-87,68,33.7,82.2
Devin Booker,PHX,shot,made,-52,23,30.2,86.7
Devin Booker,PHX,shot,made,-85,168,16.5,21.8
Devin Booker,PHX,shot,made,-148,11,10.2,6.1
Devin Booker,PHX,shot,made,6,153,25.6,20.3
Devin Booker,PHX,shot,made,0,-3,25,4.7
Devin Booker,PHX,shot,made,-39,113,21.1,16.3
Devin Booker,PHX,shot,made,-141,209,10.9,25.9
Devin Booker,PHX,shot,made,-2,-4,24.8,4.6
Devin Booker,PHX,shot,made,-7,8,24.3,5.8
Devin Booker,PHX,shot,made,-7,5,24.3,5.5
Devin Booker,PHX,shot,made,-3,132,24.7,18.2
Devin Booker,PHX,shot,made,6,254,25.6,30.4
Devin Booker,PHX,shot,made,-4,6,24.6,5.6
Devin Booker,PHX,shot,made,-81,244,16.9,29.4
Devin Booker,PHX,shot,made,-60,254,19,30.4
Devin Booker,PHX,shot,made,9,9,25.9,5.9
Devin Booker,PHX,shot,made,-16,251,23.4,30.1
Devin Booker,PHX,shot,made,-12,10,23.8,6
Devin Booker,PHX,shot,made,-57,63,19.3,11.3
Devin Booker,PHX,shot,made,47,248,29.7,29.8
