player,mins,3p%,2p%,FT%,pts,3PAr,FTr
Tobias Harris,2243,0.362,0.521,0.806,20.2,0.309,0.183
Devin Booker,2241,0.36,0.544,0.916,26,0.313,0.395
James Harden,2241,0.352,0.538,0.861,33.7,0.555,0.519
Bam Adebayo,2235,0.077,0.576,0.69,17,0.018,0.476
Harrison Barnes,2231,0.383,0.498,0.803,15.2,0.342,0.343
CJ McCollum,2229,0.38,0.497,0.75,22.5,0.378,0.135
Shai Gilgeous-Alexander,2214,0.351,0.511,0.801,19.8,0.237,0.339
Devonte' Graham,2211,0.373,0.397,0.82,18.6,0.607,0.242
P.J. Tucker,2203,0.37,0.573,0.841,7.5,0.687,0.118
Donovan Mitchell,2165,0.364,0.501,0.859,25.4,0.347,0.235
Terry Rozier,2164,0.407,0.436,0.874,18.9,0.45,0.202
Domantas Sabonis,2159,0.254,0.565,0.723,19.1,0.079,0.349
Collin Sexton,2143,0.38,0.501,0.846,22.7,0.235,0.246
Rudy Gobert,2142,0,0.698,0.621,15.7,0,0.725
Damian Lillard,2140,0.394,0.518,0.888,28.2,0.493,0.377
Trae Young,2120,0.361,0.501,0.86,30.2,0.455,0.448
Nikola Jokic,2101,0.314,0.594,0.813,22.5,0.233,0.277
LeBron James,2094,0.349,0.57,0.697,26.5,0.324,0.292
DeMar DeRozan,2091,0.267,0.535,0.843,23.3,0.031,0.419
Zach LaVine,2085,0.38,0.497,0.802,26.4,0.404,0.279
Bojan Bogdanovic,2083,0.414,0.479,0.903,22,0.489,0.296
Julius Randle,2080,0.277,0.515,0.733,21.6,0.23,0.35
Bradley Beal,2053,0.353,0.515,0.842,30.5,0.369,0.351
Buddy Hield,2045,0.395,0.477,0.855,22.3,0.582,0.123
Jayson Tatum,2043,0.398,0.479,0.806,24.5,0.377,0.251
De'Andre Hunter,2018,0.355,0.454,0.764,13.9,0.445,0.211
Chris Paul,2003,0.362,0.557,0.9,20,0.347,0.311
Miles Bridges,1995,0.33,0.486,0.809,15.2,0.398,0.174
Spencer Dinwiddie,1994,0.308,0.485,0.778,23.8,0.392,0.437
T.J. Warren,1984,0.375,0.571,0.812,20.7,0.212,0.214